run,epoch,bank,joint,joint_delta_parent,joint_delta_native_same_epoch,run_status,source,bbat/ball/box/map50_95,bbat/ball/pose/map50_95,bbat/bat/box/map50_95,bbat/bat/pose/map50_95,bbat/box/map50_95,bbat/pose/map50_95,coco/box/map50_95,coco/person/box/map50_95,bbat/ball/box/map50_95_delta_parent,bbat/ball/pose/map50_95_delta_parent,bbat/bat/box/map50_95_delta_parent,bbat/bat/pose/map50_95_delta_parent,bbat/box/map50_95_delta_parent,bbat/pose/map50_95_delta_parent,coco/box/map50_95_delta_parent,coco/person/box/map50_95_delta_parent
quarter_lr,1,ema,0.7109339701451989,-0.00024076883006640681,-0.00029203423497725645,paused_for_analysis,artifacts/direction1-20260908/native-quarter-lr-control/summary.json,0.5069675056566363,0.8589271038637889,0.7527391880574111,0.9475359750744305,0.6298533468570235,0.9032315394691098,0.4979905108514845,0.6203629140792668,-0.0004695305306924302,-0.0009816113279875749,0.00010518073060850064,1.0342040317135037e-05,-0.0001821749000420203,-0.0004856346438349979,-3.182561943765316e-05,-1.8574343182087283e-05
quarter_lr,1,live,0.7097756240417705,-0.0013991149334947606,,paused_for_analysis,artifacts/direction1-20260908/native-quarter-lr-control/summary.json,0.5027809719607104,0.858974068764511,0.7519413052582807,0.9443807279590614,0.6273611386094956,0.9016773983617863,0.49787309701126786,0.6202890878645161,-0.0046560642266183505,-0.0009346464272654842,-0.0006927020685218999,-0.0031449050750520513,-0.0026743831475699587,-0.0020397757511585457,-0.00014923945965428231,-9.240055793280355e-05
quarter_lr,2,ema,0.7105572037030999,-0.0006175352721653482,-0.0005097272874167169,paused_for_analysis,artifacts/direction1-20260908/native-quarter-lr-control/summary.json,0.5053097234407733,0.8578897830632579,0.7522142931250863,0.9476785080836512,0.6287620082829298,0.9027841455734545,0.49809402538241765,0.6203616937032431,-0.002127312746555421,-0.002018932128518558,-0.0004197142017163813,0.00015287504953775954,-0.0012735134741357346,-0.0009330285394902882,7.168891149550438e-05,-1.979471920576792e-05
quarter_lr,2,live,0.707566118156375,-0.0036086208188902402,,paused_for_analysis,artifacts/direction1-20260908/native-quarter-lr-control/summary.json,0.49146463913040284,0.8539214626381435,0.7503656737508198,0.944321936408652,0.6209151564406112,0.8991216995233977,0.49789865918886067,0.6207733761056077,-0.01597239705692588,-0.005987252553632971,-0.0022683335759828838,-0.003203696625461383,-0.009120365316454326,-0.004595474589547122,-0.000123677282061474,0.00039188768315878697
hog,1,ema,0.7112260043801761,5.126540491084963e-05,0.0,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.5069265198007662,0.8604628165393725,0.7523808869123675,0.9475748636578352,0.6296537033565669,0.904018840098604,0.4979824475960363,0.6204561907510695,-0.0005105163865625206,0.0005541013475960366,-0.00025312041443514843,4.923062372175213e-05,-0.000381818400498668,0.0003016659856591719,-3.988887488581838e-05,7.470232862061277e-05
hog,1,live,0.7071994219042768,-0.003975317070988527,,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.4973858916240889,0.8534414464291293,0.7474535189694465,0.943351040789603,0.6224197052967677,0.8983962436093664,0.496307966836859,0.6204769501690237,-0.0100511445632398,-0.006467268762647138,-0.005180488357356183,-0.004174592244510444,-0.007615816460297853,-0.005320930503578403,-0.0017143696340631287,9.546174657482087e-05
hog,2,ema,0.711277968460211,0.00010322948494567719,0.00021103746969430848,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.5070603808523887,0.8605777556708482,0.7518578816517173,0.9475921670585347,0.6294591312520529,0.9040849613646913,0.4982389866005647,0.6205218017190545,-0.0003766553349400237,0.0006690404790716808,-0.0007761256750853374,6.653402442124978e-05,-0.0005763905050126805,0.0003677872517464653,0.00021665012964255936,0.00014031329660557645
hog,2,live,0.7037813698509378,-0.007393369124327531,,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.48468441294222914,0.8451913124863459,0.7453090838707925,0.9432331336589407,0.6149967484065109,0.8942122230726431,0.4964841449269254,0.6190015097759661,-0.02275262324509958,-0.014717402705430538,-0.007324923456010102,-0.004292499375172731,-0.015038773350554702,-0.00950495104030169,-0.0015381915439967586,-0.0013799786464827601
hog,3,ema,0.710426739827027,-0.0007479991482383097,-0.000591979738282844,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.5044366634397475,0.8573076873026342,0.7521364421488161,0.9474300906730677,0.6282865527942819,0.9023688889878508,0.49859602107885903,0.6205133472862923,-0.003000372747581248,-0.0026010278891422933,-0.000497565177986492,-9.554236104569735e-05,-0.001748968962783648,-0.0013482851250939953,0.0005736846079368862,0.00013185886384337042
hog,3,live,0.7076358975329061,-0.003538841442359164,,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.5004557333835383,0.8539760348690658,0.7535094477898875,0.9420412380868068,0.626982590586713,0.8980086364779364,0.4953967998139096,0.6197828243080349,-0.00698130280379039,-0.0059326803227106595,0.0008754404630848533,-0.00548439494730657,-0.0030529311703525464,-0.005708537635008448,-0.0026255366570125394,-0.0005986641144140048
hog,4,ema,0.7095609055344998,-0.0016138334407654886,-0.0004911548106679708,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.5022156216107336,0.8544674671722682,0.7520503887894665,0.9467628245621882,0.6271330052001,0.9006151458672281,0.4987694060803776,0.6206718246575648,-0.005221414576595085,-0.0054412480195082935,-0.000583618537336128,-0.0007628084719252248,-0.0029025165569656064,-0.0031020282457167037,0.0007470696094554752,0.00029033623511587336
hog,4,live,0.7063372874375755,-0.004837451537689774,,paused_for_analysis,artifacts/direction1-20260908/hog-parent-ema-band-v1/summary.json,0.48498739639419763,0.8547820668089271,0.7501325700678987,0.9438598691619898,0.6175599832310483,0.8993209679854584,0.49581130294221665,0.6196732150436957,-0.022449639793131082,-0.005126648382849375,-0.002501437258903949,-0.003665763872123584,-0.012475538526017238,-0.004396206127486479,-0.002211033528705497,-0.0007082733787532325
rep17,1,ema,0.7107231630327571,-0.00045157594250822,-0.0005028413474190696,complete,artifacts/direction1-20260908/rep17-parent-ema-control/summary.json,0.506190682494263,0.8586331071802451,0.7520959160287694,0.9475061938610858,0.6291432992615162,0.9030696505206655,0.4980029000666514,0.6203303147942866,-0.0012463536930656938,-0.0012756080115313706,-0.000538091298033283,-1.943917302760223e-05,-0.0008922224955493219,-0.0006475235922793754,-1.9436404270767316e-05,-5.117362816231541e-05
