policy_id,activation,activation_bits,status,quantized_deployment_sites,training_only_unquantized_sites,detect_raw_nrmse,pose_raw_nrmse,worst_raw_nrmse,detect_decoded_nrmse,pose_decoded_nrmse,worst_decoded_nrmse,detect_topk_pair_overlap,pose_topk_pair_overlap,minimum_topk_pair_overlap,detect_anchor_jaccard,pose_anchor_jaccard,minimum_anchor_jaccard,peak_gpu_memory_mib
qsilu_pq--lsq-plus-a5,qsilu_pq,5,passed,124,66,0.294946753175208,0.3851001317609993,0.3851001317609993,0.5252714497249261,0.6776977056663694,0.6776977056663694,0.32666666666666666,0.05,0.05,0.25287356321839083,0.033797216699801194,0.033797216699801194,531.48828125
silu--lsq-plus-a5,silu,5,passed,124,66,0.2995608018688161,0.3920280903091104,0.3920280903091104,0.5267962024256672,0.6563103081056997,0.6563103081056997,0.31,0.07,0.07,0.21606648199445982,0.0465587044534413,0.0465587044534413,374.32470703125
hardswish--lsq-plus-a6,hardswish,6,passed,124,66,0.25863025152658115,0.2769778458878273,0.2769778458878273,0.5006032987290513,0.6580503420807615,0.6580503420807615,0.37666666666666665,0.09,0.09,0.29141104294478526,0.05,0.05,400.79248046875
poly_quality--lsq-plus-a6,poly_quality,6,passed,124,66,0.20579684189267464,0.19201476950904092,0.20579684189267464,0.5060910464385594,0.657001825774638,0.657001825774638,0.56,0.23666666666666666,0.23666666666666666,0.4131147540983607,0.14870689655172414,0.14870689655172414,534.6123046875
poly_shift--lsq-plus-a6,poly_shift,6,passed,124,66,0.21236877131895335,0.19423434372491097,0.21236877131895335,0.5049691513725566,0.6343259230924756,0.6343259230924756,0.53,0.24666666666666667,0.24666666666666667,0.4129032258064516,0.14935064935064934,0.14935064935064934,534.6123046875
qsilu_pq--lsq-plus-a6,qsilu_pq,6,passed,124,66,0.20446325825496448,0.2041181040503902,0.20446325825496448,0.5223197578545311,0.6603055090916324,0.6603055090916324,0.55,0.23,0.23,0.4391891891891892,0.13859275053304904,0.13859275053304904,531.48828125
silu--lsq-plus-a6,silu,6,passed,124,66,0.2048898130900653,0.1902512440364716,0.2048898130900653,0.5122061345170991,0.6302785328518029,0.6302785328518029,0.5566666666666666,0.23333333333333334,0.23333333333333334,0.4080267558528428,0.13983050847457626,0.13983050847457626,374.32470703125
hardswish--lsq-plus-a7,hardswish,7,passed,124,66,0.19702308650594574,0.16493291796581683,0.19702308650594574,0.509612654603739,0.6526508613327526,0.6526508613327526,0.6066666666666667,0.36666666666666664,0.36666666666666664,0.47686832740213525,0.2398190045248869,0.2398190045248869,400.79248046875
poly_quality--lsq-plus-a7,poly_quality,7,passed,124,66,0.13872509095102972,0.12984610512583514,0.13872509095102972,0.5025104855378291,0.6697283074580118,0.6697283074580118,0.7333333333333333,0.43333333333333335,0.43333333333333335,0.6022727272727273,0.29156626506024097,0.29156626506024097,534.6123046875
poly_shift--lsq-plus-a7,poly_shift,7,passed,124,66,0.15786197115072934,0.1319302156065777,0.15786197115072934,0.5155179932999372,0.6521449362046805,0.6521449362046805,0.7266666666666667,0.44333333333333336,0.44333333333333336,0.6136363636363636,0.2982885085574572,0.2982885085574572,534.6123046875
qsilu_pq--lsq-plus-a7,qsilu_pq,7,passed,124,66,0.1598245369283107,0.1545197181751294,0.1598245369283107,0.5151145949934934,0.6362426603036341,0.6362426603036341,0.72,0.43,0.43,0.5735294117647058,0.2971014492753623,0.2971014492753623,531.48828125
silu--lsq-plus-a7,silu,7,passed,124,66,0.15141235455497123,0.13117881944784146,0.15141235455497123,0.49206715763516357,0.6314530732409219,0.6314530732409219,0.72,0.4033333333333333,0.4033333333333333,0.5730337078651685,0.2744630071599045,0.2744630071599045,374.32470703125
hardswish--lsq-plus-a8,hardswish,8,passed,124,66,0.11941235999997347,0.09120322052640219,0.11941235999997347,0.5047769779797792,0.6928249384953691,0.6928249384953691,0.81,0.6166666666666667,0.6166666666666667,0.6842105263157895,0.45931758530183725,0.45931758530183725,400.79248046875
poly_quality--lsq-plus-a8,poly_quality,8,passed,124,66,0.08164426369434451,0.06819841702171901,0.08164426369434451,0.49619211535652424,0.6108488991798978,0.6108488991798978,0.86,0.6933333333333334,0.6933333333333334,0.7605042016806722,0.5342857142857143,0.5342857142857143,534.6123046875
poly_shift--lsq-plus-a8,poly_shift,8,passed,124,66,0.09893359777410342,0.07936800873280818,0.09893359777410342,0.4915534053205099,0.6378675241146883,0.6378675241146883,0.82,0.6866666666666666,0.6866666666666666,0.7195121951219512,0.5302593659942363,0.5302593659942363,534.6123046875
qsilu_pq--lsq-plus-a8,qsilu_pq,8,passed,124,66,0.09465909213798196,0.10185140550372307,0.10185140550372307,0.4929545861343023,0.60698110215997,0.60698110215997,0.8533333333333334,0.6133333333333333,0.6133333333333333,0.7615062761506276,0.46944444444444444,0.46944444444444444,531.48828125
silu--lsq-plus-a8,silu,8,passed,124,66,0.09113168877742996,0.07544211815756312,0.09113168877742996,0.5019940739009794,0.6067104939214961,0.6067104939214961,0.84,0.68,0.68,0.7261410788381742,0.5287356321839081,0.5287356321839081,374.32470703125
