candidate,region,status,training_only,changed_path_count,elapsed_seconds,detect_deployment_fraction,pose_deployment_fraction,local_worst_delta,global_worst_delta,global_gate_passed,profile_weighted_mae_vs_qsilu,profile_weighted_rmse_vs_qsilu,metric::coco/box/map50_95,local_delta::coco/box/map50_95,global_delta::coco/box/map50_95,metric::coco/person/box/map50_95,local_delta::coco/person/box/map50_95,global_delta::coco/person/box/map50_95,metric::bbat/box/map50_95,local_delta::bbat/box/map50_95,global_delta::bbat/box/map50_95,metric::bbat/pose/map50_95,local_delta::bbat/pose/map50_95,global_delta::bbat/pose/map50_95,metric::bbat/ball/box/map50_95,local_delta::bbat/ball/box/map50_95,global_delta::bbat/ball/box/map50_95,metric::bbat/bat/box/map50_95,local_delta::bbat/bat/box/map50_95,global_delta::bbat/bat/box/map50_95,metric::bbat/ball/pose/map50_95,local_delta::bbat/ball/pose/map50_95,global_delta::bbat/ball/pose/map50_95,metric::bbat/bat/pose/map50_95,local_delta::bbat/bat/pose/map50_95,global_delta::bbat/bat/pose/map50_95
hardswish,pose_one2one,reused,False,190,,0.0,0.15503875968992248,-0.1507487433361776,-0.15032483533567143,False,0.029757627308777203,0.04349767543443734,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.5022688872813625,-0.12298856885660114,-0.12718166292649902,0.8964355788372538,-0.005032923212662355,-0.005666405947321929,0.40244159282008257,-0.09522839437702474,-0.10403849051732655,0.6020961817426425,-0.1507487433361776,-0.15032483533567143,0.8557709677916948,-0.001331807364455373,-0.0011294628729592304,0.9371001898828126,-0.008734039060869336,-0.010203349021684849
leaky_relu_1_8,backbone_attention,reused,False,190,,0.008583690987124463,0.008456659619450317,-0.1574127547323927,-0.1588820646932082,False,0.2188489767826827,0.37116952305946016,0.3752505683871512,-0.12006282950147484,-0.12320972889206427,0.5501844444951952,-0.06949928959876339,-0.07014921347157022,0.5281157811524358,-0.09714167498552784,-0.10133476905542571,0.7896160198542387,-0.11185248219567745,-0.11248596493033702,0.435816260791175,-0.061853726405932286,-0.0706638225462341,0.6204153015136965,-0.13242962356512356,-0.13200571556461738,0.790810565497188,-0.06629220965896221,-0.06608986516746607,0.7884214742112893,-0.1574127547323927,-0.1588820646932082
leaky_relu_1_8,backbone_deep,reused,False,190,,0.07439198855507868,0.07329105003523609,-0.3608861485840039,-0.36235545854481943,False,0.15240548133905032,0.21430118506126855,0.1758680159731866,-0.3194453819154395,-0.3225922813060289,0.4441554661191602,-0.17552826797479842,-0.17617819184760525,0.363659436856262,-0.2615980192817017,-0.26579111335159955,0.5862872293103063,-0.31518127273960983,-0.3158147554742694,0.2839586628570887,-0.2137113243400186,-0.22252142048032042,0.44336021085543537,-0.3094847142233847,-0.3090608062228785,0.5876263782609347,-0.2694763968952155,-0.2692740524037194,0.584948080359678,-0.3608861485840039,-0.36235545854481943
leaky_relu_1_8,backbone_early,reused,False,190,,0.5035765379113019,0.49612403100775193,-0.8816271625569535,-0.883096472517769,False,0.17245164360689474,0.23637531310104684,0.011960841209764105,-0.48335255667886196,-0.4864994560694514,0.036871674495346125,-0.5828120595986125,-0.5834619834714193,0.07858232600465372,-0.5466751301333099,-0.5508682242032078,0.1375020841034006,-0.7639664179465155,-0.7645999006811751,0.11377340093688833,-0.383896586260219,-0.3927066824005208,0.04339125107241909,-0.709453674006401,-0.7090297660058948,0.21079710182007272,-0.6463056733360775,-0.6461033288445813,0.06420706638672845,-0.8816271625569535,-0.883096472517769
leaky_relu_1_8,detect_one2many,reused,True,190,,0.0,0.0,0.0,-0.008810096140301815,True,0.17392360545317018,0.20618097032788563,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
leaky_relu_1_8,detect_one2one,reused,False,190,,0.14234620886981403,0.0,-0.6164541586573398,-0.6171040825301466,False,0.17981284691799354,0.23682949202850556,0.01907071716286191,-0.47624268072576414,-0.4793895801163536,0.0032295754366188007,-0.6164541586573398,-0.6171040825301466,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
leaky_relu_1_8,masf,reused,False,190,,0.06866952789699571,0.06765327695560254,-0.003326968883578807,-0.007597412495511935,True,0.14874123893348745,0.1794537823286022,0.49198642900504724,-0.003326968883578807,-0.006473868274168237,0.6173054729160669,-0.0023782611778917495,-0.003028185050698573,0.6259786953690625,0.0007212392310987914,-0.003471854838799082,0.9047003662237543,0.0032318641738381393,0.0025983814391785653,0.4988826708418972,0.0012126836447898803,-0.007597412495511935,0.7530747198962278,0.00022979481740770247,0.0006537028179138815,0.8615981114313644,0.004495336275214257,0.004697680766710399,0.947802621016144,0.001968392072462022,0.0004990821116465094
leaky_relu_1_8,neck,reused,False,190,,0.19957081545064378,0.19661733615221988,-0.9302260948161409,-0.9316954047769564,False,0.16988235992539405,0.2522211642696974,1.3362359298221196e-05,-0.49530003552932783,-0.49844693491991726,0.00018246562624183571,-0.6195012684677168,-0.6201511923405236,0.022828068411722253,-0.6024293877262414,-0.6066224817961393,0.18420317230997238,-0.7172653297399437,-0.7178988124746033,0.04554570036590643,-0.4521242868312009,-0.4609343829715027,0.0001104364575380718,-0.752734488621282,-0.7523105806207758,0.3527982104924037,-0.5043045646637465,-0.5041022201722504,0.015608134127541081,-0.9302260948161409,-0.9316954047769564
leaky_relu_1_8,neck_attention,reused,False,190,,0.002861230329041488,0.0028188865398167725,-0.08112882143847766,-0.08993891757877948,False,0.8587613025205028,1.111054254690002,0.4488445161873837,-0.04646888170124236,-0.04961578109183179,0.5475056899418012,-0.07217804415215745,-0.07282796802496427,0.5823109658641643,-0.042946490273799376,-0.04713958434369725,0.8610323217390974,-0.04043618031081875,-0.04106966304547832,0.41654116575862965,-0.08112882143847766,-0.08993891757877948,0.748080765969699,-0.004764159109121091,-0.004340251108614912,0.7824318417575676,-0.07467093339858255,-0.07446858890708641,0.9396328017206275,-0.006201427223054501,-0.007670737183870013
leaky_relu_1_8,pose_flow,reused,True,190,,0.0,0.0,0.0,-0.008810096140301815,True,0.09338853976399332,0.11240112122601345,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
leaky_relu_1_8,pose_one2many,reused,True,190,,0.0,0.0,0.0,-0.008810096140301815,True,0.14630957626775046,0.16852470395027,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.6252574561379637,0.0,-0.004193094069897874,0.9014685020499161,0.0,-0.0006334827346595739,0.4976699871971073,0.0,-0.008810096140301815,0.7528449250788201,0.0,0.00042390800050617905,0.8571027751561502,0.0,0.00020234449149614253,0.945834228943682,0.0,-0.0014693099608155125
leaky_relu_1_8,pose_one2one,reused,False,190,,0.0,0.15503875968992248,-0.2838378418999451,-0.2926479380402469,False,0.14551499557943218,0.16787248363657656,0.49531339788862605,0.0,-0.0031468993905894305,0.6196837340939586,0.0,-0.0006499238728068235,0.35735877990587467,-0.267898676232089,-0.2720917703019869,0.8368059019436271,-0.06466260010628899,-0.06529608284094857,0.21383214529716224,-0.2838378418999451,-0.2926479380402469,0.5008854145145871,-0.25195951056423294,-0.25153560256372676,0.8098522551999029,-0.047250519956247294,-0.04704817546475115,0.8637595486873517,-0.08207468025633025,-0.08354399021714576
