epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,54174.8,0.90947,0.93562,1.0917,0.73239,0.62433,0.68241,0.51035,0.94234,0.96581,1.10293,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
50,55268.9,0.90764,0.93137,1.09173,0.7317,0.62546,0.68206,0.50982,0.9429,0.9662,1.10317,0.00118087,0.000393625,0.00118087,0.000393625,0.00118087,0.000393625,0.00118087,0.000393625
51,56362.1,0.90726,0.92921,1.09082,0.73146,0.62631,0.68209,0.50976,0.94327,0.96664,1.10338,0.00114375,0.00038125,0.00114375,0.00038125,0.00114375,0.00038125,0.00114375,0.00038125
52,57457.3,0.90531,0.9227,1.08924,0.7281,0.62799,0.68204,0.50956,0.94401,0.96768,1.10418,0.00110663,0.000368875,0.00110663,0.000368875,0.00110663,0.000368875,0.00110663,0.000368875
53,58550,0.90348,0.9198,1.08756,0.72223,0.63008,0.68174,0.50929,0.94477,0.96813,1.10472,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
54,59642.7,0.90128,0.91503,1.08669,0.72509,0.62826,0.68127,0.50887,0.94535,0.96976,1.10523,0.00103238,0.000344125,0.00103238,0.000344125,0.00103238,0.000344125,0.00103238,0.000344125
55,60737.7,0.89904,0.91095,1.0854,0.72454,0.62799,0.68109,0.50829,0.94571,0.96964,1.1053,0.00099525,0.00033175,0.00099525,0.00033175,0.00099525,0.00033175,0.00099525,0.00033175
56,61832.4,0.89988,0.90734,1.08389,0.71809,0.62945,0.68006,0.50759,0.94587,0.97041,1.10493,0.000958125,0.000319375,0.000958125,0.000319375,0.000958125,0.000319375,0.000958125,0.000319375
57,62925.9,0.89614,0.90212,1.0835,0.72543,0.62806,0.67985,0.50775,0.94623,0.97113,1.10524,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
58,64019.5,0.89615,0.89798,1.08209,0.72092,0.63044,0.67956,0.5074,0.94696,0.9721,1.10539,0.000883875,0.000294625,0.000883875,0.000294625,0.000883875,0.000294625,0.000883875,0.000294625
59,65114.8,0.89588,0.89569,1.08205,0.72133,0.62855,0.67891,0.5072,0.94725,0.97277,1.10583,0.00084675,0.00028225,0.00084675,0.00028225,0.00084675,0.00028225,0.00084675,0.00028225
60,66220.9,0.89292,0.89075,1.08046,0.7187,0.6246,0.67812,0.50653,0.94791,0.97365,1.10649,0.000809625,0.000269875,0.000809625,0.000269875,0.000809625,0.000269875,0.000809625,0.000269875
61,67342.5,0.89041,0.8884,1.07887,0.7188,0.62472,0.67748,0.50614,0.94885,0.9752,1.10715,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
62,68443.2,0.88961,0.8825,1.07705,0.72172,0.62265,0.67654,0.50553,0.94925,0.97603,1.10749,0.000735375,0.000245125,0.000735375,0.000245125,0.000735375,0.000245125,0.000735375,0.000245125
63,69558.5,0.88687,0.87663,1.07586,0.72402,0.621,0.67589,0.50531,0.9493,0.97661,1.10763,0.00069825,0.00023275,0.00069825,0.00023275,0.00069825,0.00023275,0.00069825,0.00023275
64,70657.7,0.88712,0.87422,1.07447,0.72527,0.62159,0.67528,0.50465,0.94983,0.97782,1.10801,0.000661125,0.000220375,0.000661125,0.000220375,0.000661125,0.000220375,0.000661125,0.000220375
65,71773.5,0.88359,0.87087,1.07381,0.71708,0.62562,0.67468,0.50424,0.94997,0.9797,1.10803,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
66,72867.1,0.88207,0.86511,1.07418,0.72301,0.62078,0.674,0.5035,0.95075,0.98076,1.10885,0.000586875,0.000195625,0.000586875,0.000195625,0.000586875,0.000195625,0.000586875,0.000195625
67,73961.5,0.88288,0.86288,1.07284,0.71867,0.62122,0.67317,0.50268,0.95145,0.98234,1.10924,0.00054975,0.00018325,0.00054975,0.00018325,0.00054975,0.00018325,0.00054975,0.00018325
68,75055.7,0.88133,0.85886,1.07025,0.72143,0.62039,0.67315,0.50238,0.95179,0.98287,1.10936,0.000512625,0.000170875,0.000512625,0.000170875,0.000512625,0.000170875,0.000512625,0.000170875
69,76149.8,0.87771,0.85433,1.06994,0.72603,0.61563,0.67242,0.50146,0.95256,0.98336,1.10966,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
70,77244.8,0.87611,0.84827,1.06826,0.72392,0.61731,0.67148,0.50073,0.95299,0.98404,1.11004,0.000438375,0.000146125,0.000438375,0.000146125,0.000438375,0.000146125,0.000438375,0.000146125
71,78324.2,0.85808,0.7534,1.05443,0.72706,0.61515,0.67069,0.49999,0.95385,0.98644,1.11055,0.00040125,0.00013375,0.00040125,0.00013375,0.00040125,0.00013375,0.00040125,0.00013375
72,79403.8,0.8541,0.7403,1.05184,0.72191,0.6182,0.6697,0.49941,0.95493,0.9882,1.11124,0.000364125,0.000121375,0.000364125,0.000121375,0.000364125,0.000121375,0.000364125,0.000121375
73,80485,0.85023,0.73241,1.04923,0.71664,0.61911,0.66853,0.4984,0.95607,0.99024,1.11228,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
