path,region,format,granularity,elements,nrmse,cosine,estimated_packed_bytes,original_exact_zero_ratio,original_mean_absolute,original_maximum_absolute,original_standard_deviation,max_to_rms_proxy,quantized_zero_ratio
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,w8,per_output_channel,2304,0.003935388879907014,0.9999923507417763,3328,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.0399305559694767
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,w7,per_output_channel,2304,0.009010091032732204,0.9999594250057536,3040,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.0789930522441864
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,w6,per_output_channel,2304,0.01928766215623839,0.9998139623150111,2752,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.1510416716337204
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,w5,per_output_channel,2304,0.040560845039014096,0.9991771476254666,2464,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.2912326455116272
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,w4,per_output_channel,2304,0.08156583958333066,0.9966680321166892,2176,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.5177951455116272
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,fixed-sd4,per_output_channel,2304,0.09167721410977815,0.9957888239731542,2176,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.0733506977558136
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,exact-ternary,per_tensor,2304,0.561868397323726,0.8272266005513101,580,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.9249131679534912
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,twn-v3,per_output_filter,2304,0.456027185275839,0.8899657755069693,1600,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.7907986044883728
graph.model.10.m.0.attn.pe.conv,backbone_attention_safe,paper-twn-v2,per_tensor,2304,0.7071396252974378,0.7070740531385604,580,0.0,0.046811919659376144,1.6920435428619385,0.1208069771528244,13.845447763673619,0.7829861044883728
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,w8,per_output_channel,65536,0.008371957836569806,0.9999648747912786,66560,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.0111541748046875
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,w7,per_output_channel,65536,0.01685256221034807,0.9998579309024895,58368,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.02276611328125
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,w6,per_output_channel,65536,0.03379993543467819,0.9994286211390687,50176,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.04571533203125
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,w5,per_output_channel,65536,0.06710110261587536,0.9977461622858548,41984,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.0883636474609375
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,w4,per_output_channel,65536,0.12760204351030405,0.991825334390571,33792,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.15716552734375
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,fixed-sd4,per_output_channel,65536,0.18102201877249746,0.9834790043047276,33792,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.021636962890625
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,exact-ternary,per_tensor,65536,0.48212387131328116,0.8761029661231398,16388,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.4994659423828125
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,twn-v3,per_output_filter,65536,0.46559532790659225,0.8849977081084613,17408,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.460418701171875
graph.model.10.m.0.attn.proj.conv,backbone_attention_safe,paper-twn-v2,per_tensor,65536,0.4854622164620382,0.8742574324495194,16388,0.0,0.05386184900999069,1.0757570266723633,0.07017838954925537,15.32875203710892,0.442779541015625
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,w8,per_output_channel,65536,0.008562036684393258,0.9999632996401633,66560,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.0153350830078125
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,w7,per_output_channel,65536,0.01722803468583587,0.9998515843181746,58368,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.0305023193359375
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,w6,per_output_channel,65536,0.034840625901192565,0.9993929692841724,50176,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.0610504150390625
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,w5,per_output_channel,65536,0.06878545495110322,0.9976315106693957,41984,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.1160430908203125
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,w4,per_output_channel,65536,0.1318373628965428,0.991271392836419,33792,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.2046356201171875
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,fixed-sd4,per_output_channel,65536,0.1790419620023306,0.9838414237955587,33792,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.0282135009765625
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,exact-ternary,per_tensor,65536,0.4985794582954685,0.8668440447616333,16388,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.589019775390625
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,twn-v3,per_output_filter,65536,0.4888730555683692,0.8723548709397889,17408,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.495849609375
graph.model.10.m.0.attn.qkv.v.conv,backbone_attention_safe,paper-twn-v2,per_tensor,65536,0.5102958094312399,0.8599989347449472,16388,0.0,0.0808282271027565,1.2335659265518188,0.11036685109138489,11.176956032713415,0.4851226806640625
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,w8,per_output_channel,131072,0.008901749084325429,0.9999604503537382,133120,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.01363372802734375
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,w7,per_output_channel,131072,0.017972532926688406,0.9998385008939706,116736,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.02690887451171875
graph.model.10.m.0.ffn.0.conv,backbone_attention_safe,w6,per_output_channel,131072,0.03631077786640555,0.9993405600319905,100352,0.0,0.04059348627924919,0.8932243585586548,0.05351540446281433,16.681894511328018,0.05361175537109375
