model_id,architecture,stage,train_fraction,gate,bittrue_sha256,dataset,evaluator,scope,images,instances,precision,recall,f1,ap50,ap75,ap50_95,ap_s,ap_m,ap_l,ar100
partial75-a2,partial75,a2,,retained,aa878765518efa6a3801c03e39ce5a3d78bea0fa09c70a3cbd41a83f7c6b77e8,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8065063517670926,0.6549586776859504,0.7228750918472345,0.7231363009218875,0.5546536117336124,0.4894368945087247,,,,
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,coco2017-val,ultralytics-internal,overall,,,,0.6139387297989856,,0.6708935862771372,0.5463435626992471,0.4982864460951055,0.3521636341690855,0.5497535754712748,0.6458625949758875,
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5036131088808592,,,,
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.4664891726301474,,,,
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.6749696115518768,0.523511719447743,0.4677035592614402,0.5018572091909901,0.5188953623898404,0.0069779874642884,0.669655172413793
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6786227781768995,0.5525508513891334,0.5043963446943782,0.3521636341690855,0.5497535754712748,0.6458625949758875,0.7050705853053171
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.701266800735139,0.5625530797006224,0.5101843405813484,0.4672900217228872,0.8485945817924413,0.6518151815181518,0.6103846153846154
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,bbt5-detect-valid,ultralytics-internal,overall,,,0.6830159783387524,0.6180362977403147,0.6489034673104987,,,,,,,
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5671653355873397,0.6079734219269103,0.5868608241715284,0.5773446022657385,0.2772115909240852,0.3108643220572816,,,,
partial75-b-f03,partial75,b,0.3,rollback,ef21d05d83d65e4949dd486e30b4bf411e36d3a59cf787e25fd647bfa69932da,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.798866621090165,0.628099173553719,0.7032648804474063,0.6946363109272058,0.5023444415455987,0.4486911994234021,,,,
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,coco2017-val,ultralytics-internal,overall,,,,0.6121164198782856,,0.6695455237232285,0.5450592767461795,0.497261550897957,0.3468793636973876,0.5476110444267784,0.648519717139198,
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5130314170124973,,,,
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.4738276056741322,,,,
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7029883494712702,0.5208989178233935,0.47495497648528656,0.4943957352824796,0.5217204996236018,0.014297235369923427,0.6786206896551724
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6779846640599725,0.551043623808472,0.5034887369667432,0.3468793636973876,0.5476110444267784,0.648519717139198,0.7077688500346377
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7073348687794844,0.5863575493975712,0.5167681247423017,0.4762346417688613,0.8506825032498221,0.6364686468646865,0.6188461538461538
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,bbt5-detect-valid,ultralytics-internal,overall,,,0.6646299155430215,0.6554494659674364,0.660007768184666,,,,,,,
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5552096783209115,0.6146179401993356,0.5834053213754384,0.588982192334916,0.27249415202981364,0.3120461112798365,,,,
partial75-c-f03,partial75,c,0.3,rollback,510f70c8bfd6d45a217fdf4626cfcf349587d75b8dc965a0d1fcbcf019c36e2b,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.7740501527651317,0.6962809917355371,0.7331088782770524,0.7299665666492545,0.5888912988874635,0.5107493626528752,,,,
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,coco2017-val,ultralytics-internal,overall,,,,0.614224550977734,,0.675549270786453,0.5509503486849529,0.5040094609568293,0.3498919960616806,0.5545779159886893,0.6563088290193576,
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5115157788920682,,,,
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.4633564474837664,,,,
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.6959385770505081,0.5009141518741452,0.46475433945188677,0.5005593835209102,0.5072310370856868,0.011380914462590416,0.6724137931034483
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6835062818845943,0.557044347640247,0.5100364331134398,0.3498919960616806,0.5545779159886893,0.6563088290193576,0.7073443314189195
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7076777315505222,0.5660481341811572,0.5161364689514515,0.47577180108904615,0.8357764447910446,0.6394053812160877,0.6253846153846153
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,bbt5-detect-valid,ultralytics-internal,overall,,,0.6966284350771076,0.6312429642239368,0.6623258826904833,,,,,,,
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5901595862708731,0.6013289036544851,0.5956918929459073,0.5847538402582633,0.2765882093980787,0.3126930544177783,,,,
partial75-b-f10,partial75,b,1.0,rollback,05070ec4e7661de5980d51451c49f39192f01783ac7746b9a9ce038fe7cdb74f,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.8030972838833421,0.6611570247933884,0.7252475306858556,0.7305565546365853,0.5688641853225043,0.4930736294280746,,,,
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,coco2017-val,ultralytics-internal,overall,,,,0.6183469217330134,,0.6720994326678941,0.5478996611886551,0.5004282490623231,0.3454177213821786,0.5527188646014615,0.6442652450642066,
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,coco2017-val,ultralytics-internal,sports_ball,,,,,,,,0.5112262747517515,,,,
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,coco2017-val,ultralytics-internal,baseball_bat,,,,,,,,0.4799520701699846,,,,
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,coco2017-val,canonical-coco-api,baseball_bat,97,146,,,,0.7041546246216492,0.54650104126584,0.482536908245322,0.508575914235823,0.5224781358607432,0.010198425020686486,0.6813793103448276
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,coco2017-val,canonical-coco-api,overall,5000,36781,,,,0.6800219599481133,0.553550374882913,0.5063213136627053,0.3454177213821786,0.5527188646014615,0.6442652450642066,0.7086424755250821
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,coco2017-val,canonical-coco-api,sports_ball,169,263,,,,0.7056830103552044,0.5736951582076507,0.5149659289655599,0.47347347400773615,0.8522993571571593,0.6245874587458745,0.6084615384615384
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,bbt5-detect-valid,ultralytics-internal,overall,,,0.6746259115713198,0.6339371516432827,0.653648938791937,,,,,,,
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,bbt5-detect-valid,ultralytics-internal,sports_ball,279,301,0.5593787223750495,0.6046511627906976,0.5811345554522216,0.5742380845374477,0.2751136409634529,0.3062845446941792,,,,
partial75-c-f10,partial75,c,1.0,rollback,206fca76f09f30d812b4255def123601417a3c545867606f40ac53f815b94364,bbt5-detect-valid,ultralytics-internal,baseball_bat,480,484,0.7898731007675902,0.6632231404958677,0.7210287985175646,0.7260720669459725,0.5688533779930656,0.49907737707753136,,,,
