split,experiment,seed,comparison_tier,map50_95,map50,map75,ap_s,ap_m,ap_l,ball_ap,ball_ap_s,ball_recall,bat_ap,tiny_ball_recall,small_ball_recall,large_ball_recall,checkpoint_sha256
val,P2-Partial50-Clean,42,strict_fair,0.4454370049087533,0.6298931943711011,0.4969332823964245,0.2249411769567696,0.7205228648452591,0.9243811881188119,0.21590187368207528,0.17244502541035206,0.4227053140096618,0.6749721361354315,1.0,0.3371212121212121,0.5114503816793893,a6a2524e5123f47f4c13d5252be63099d2da34a1d4f1b3417d1f3e32bee774f5
val,P2-Partial50-Clean,43,strict_fair,0.4498223449884376,0.6414536270555196,0.4937809006061947,0.2373118406399904,0.7515866519713862,0.9255775577557755,0.2109818133876686,0.1632206096116492,0.43478260869565216,0.6886628765892066,0.8421052631578947,0.35984848484848486,0.5267175572519084,312e7d461b03418a29121a1359034e1091d1aee6f51bd460dd1e7bc5c23b2204
val,P2-Partial25-Clean,42,strict_fair,0.45112025023396685,0.6330356250268078,0.5030573381435933,0.19925866472321085,0.7332249336792905,0.9183168316831684,0.19047281952634437,0.1440282698081333,0.37681159420289856,0.7117676809415895,0.8421052631578947,0.3068181818181818,0.45038167938931295,429d205ab5320e59d9499daa6b3872c4418bf8bae0292044d76ae6fd334e6a70
val,P2-Partial25-Clean,43,strict_fair,0.4470812437930097,0.6929496490208076,0.5099501547173322,0.2372832730455607,0.6782922158159078,0.8280845530205194,0.286773147191936,0.26256515264693986,0.8019323671497585,0.6073893403940835,0.3684210526315789,0.8901515151515151,0.6870229007633588,543c0e6027658c3891a3d5076b4369b7f117ab79271a8d6dce420396d9eee509
val,P3-M7-Clean,42,strict_fair,0.4504406215540945,0.6605677716944387,0.4834449399546312,0.2507994664681328,0.7432275508054522,0.8199526367110395,0.20855344137822754,0.18358530960139183,0.46859903381642515,0.6923278017299613,1.0,0.3560606060606061,0.6183206106870229,e87f0f8998a52adad53b3500606a34ed542eb9721773a1083e62b9f2dac2cea7
val,P3-M7-Clean,43,strict_fair,0.4318228385596966,0.6325731007210322,0.47050228768585994,0.2232655535571732,0.7219813024208964,0.8901980198019802,0.21447781804393173,0.17277358212383473,0.4830917874396135,0.6491678590754616,0.8947368421052632,0.38636363636363635,0.6183206106870229,b39200bc50dd49bb480c687363602a91de1b20851d896c2307aa88109eebe797
val,P3-Lite35-Clean,42,strict_fair,0.4441339194730317,0.6221702551291529,0.4863236798972497,0.2149081969982476,0.7512279453721289,0.9169001164822365,0.20245702605148186,0.1624322209632293,0.40096618357487923,0.6858108128945817,1.0,0.32196969696969696,0.4732824427480916,6deb1a9a719646465e6ed05284aa10696e3da8f643ce26725f94eb3216f66067
val,P3-Lite35-Clean,43,strict_fair,0.4315586706648588,0.6073602454501017,0.4791041422393979,0.20586539930771008,0.6342764718140822,0.9312871287128713,0.1890611297913908,0.15192525871813045,0.3961352657004831,0.6740562115383267,0.9473684210526315,0.3181818181818182,0.4732824427480916,8c6587508bc8b7fc719d6726775a97264f2dd72d7ef1c46607ee3d85c5abc8cd
val,P3-Lite35-F7-Clean,42,strict_fair,0.4166108846025188,0.6546946469422249,0.4502642922562904,0.1925515222806017,0.6456638637867136,0.8744801980198019,0.20992078741678755,0.17729496969728809,0.8333333333333334,0.62330098178825,0.8421052631578947,0.9166666666666666,0.6641221374045801,0c053b2552d00ab13ad88e1925cde1464fdb6c941f32e702721cfc3caf9a25ec
val,P3-Lite35-F7-Clean,43,strict_fair,0.44420149983609036,0.6232887820909734,0.48809062197835484,0.2340674350842935,0.7354305818412258,0.9186468646864686,0.20369098634392316,0.1630584898165642,0.4227053140096618,0.6847120133282575,0.8421052631578947,0.3484848484848485,0.5114503816793893,80b64a5d744fa3126718eea5e602bcdd52ef5384da731bc1bf8f7c9bee985362
