split,experiment,comparison_tier,seeds,map50_95_mean,map50_95_std,map50_mean,map50_std,map75_mean,map75_std,ap_s_mean,ap_s_std,ap_m_mean,ap_m_std,ap_l_mean,ap_l_std,ball_ap_mean,ball_ap_std,ball_ap_s_mean,ball_ap_s_std,ball_recall_mean,ball_recall_std,bat_ap_mean,bat_ap_std,tiny_ball_recall_mean,tiny_ball_recall_std,small_ball_recall_mean,small_ball_recall_std,large_ball_recall_mean,large_ball_recall_std
val,P3-Partial50-Clean,strict_fair,"42,43",0.43065459246493454,0.021416629673515226,0.6430890762272491,3.288008997514576e-05,0.46957887762141803,0.03612651966216713,0.21349347453424344,0.008879235723233887,0.7130070330593441,0.03652475651201143,0.809446123196051,0.07220964183560696,0.19169159577870276,0.004889309216043476,0.15455659691703827,0.0066579254653040395,0.5954106280193237,0.23399427300134545,0.6696175891511663,0.037943950130987114,0.9210526315789473,0.11164843913471806,0.5568181818181818,0.31605530371216894,0.6259541984732825,0.08636418701515083
val,P3-Partial25-Clean,strict_fair,"42,43",0.44953491478742014,0.010423591046988888,0.6408817293215678,0.02229974016900493,0.5017556811632995,0.0032861461315789485,0.2123807452813624,0.027468725624829795,0.7424487220612127,0.008524597939244666,0.9021031882600026,0.018450936925743393,0.20759511792852298,0.018510881248333333,0.16413737043602503,0.015739945204741482,0.4359903381642512,0.05636358400762337,0.6914747116463174,0.002336300845644346,0.8157894736842105,0.18608073189119667,0.3428030303030303,0.029462782549439494,0.5687022900763359,0.14573956558806705
val,P2-Control-Clean-Head,optimization_control,"42,43",0.005986736534074208,0.0022393029760412607,0.009260411202604298,0.000322602963592866,0.006827344824237734,0.0037633693968842116,0.0002175161617516833,0.0003075706911251169,0.007540424037713612,4.201342184536211e-05,0.06825879946658844,0.09653251995695476,0.0011315648146985491,0.0016001870779319795,0.0002680817621652025,0.00037903763416000086,0.20169082125603865,0.21349842427130059,0.010841908253449864,0.0060787930300145,0.2894736842105263,0.4093776101606328,0.18181818181818182,0.20891791262329812,0.22900763358778625,0.1943194207840894
val,P2-Control-Clean-Full,optimization_control,"42,43",0.4928809939557311,0.03875717516305323,0.7391618725837443,0.1050457345704756,0.5118686595630371,0.018140183604079086,0.3505416894266942,0.0676371952388837,0.7589430392659631,0.00336281124271548,0.9028493563642078,0.04133725249747369,0.26937900899807293,0.09166364321265885,0.2313377771471608,0.09962724151176838,0.6400966183574879,0.2971898065856504,0.7163829789133891,0.014149292886552544,0.7894736842105263,0.07443229275647868,0.6401515151515151,0.4178358252465962,0.6183206106870229,0.08636418701515083
test,B0-Clean,strict_fair,"42,43",0.5425531340336505,0.06874308694127797,0.8016588896975883,0.05765863091877663,0.5969850194122356,0.08730600663771784,0.2774082902098485,0.0890792579041742,0.5804045171306578,0.0900171195461317,0.6345780588454675,0.05669913307636251,0.478671319215367,0.07514701680064757,0.30489729015359657,0.07958582515712515,0.9254473161033798,0.01265201000134976,0.6064349488519338,0.06233915708190839,0.32,0.11313708498984762,0.9301075268817205,0.03801649361218002,0.9743150684931507,0.01210799282853682
test,P2-Direct-Clean,strict_fair,"42,43",0.5758404039178666,0.00559080502188427,0.8318824334325795,0.003915868786575004,0.6496058882735456,0.013194112961827357,0.3482071342547857,0.004058813193450095,0.5757479361477875,0.1330443894871091,0.6455839369850683,0.004090865279662648,0.5067525943113327,0.030268929192340078,0.35070035706086966,0.027039801610973798,0.9393638170974155,0.004217336667116639,0.6449282135244006,0.019087319148571497,0.64,0.0,0.9435483870967742,0.003801649361217994,0.9623287671232876,0.009686394262829379
test,P2-PaperFormula-Clean,strict_fair,"42,43",0.5937811875640021,0.020725265246043404,0.8571329885374124,0.02440016936266137,0.6643071201159563,0.0166511310552483,0.3461478260516643,0.039283429554621316,0.6148006780412805,0.06471059249124396,0.6652550997868628,0.02447818132893255,0.5386663758476402,0.04642804956516899,0.36422705999625704,0.04161994807825632,0.9512922465208749,0.01265201000134976,0.6488959992803639,0.0049775190730821815,0.5800000000000001,0.0848528137423857,0.978494623655914,0.030413194889743953,0.9657534246575342,0.0048431971314147285
test,P2-Lite35-Clean,strict_fair,"42,43",0.5701862424079951,0.023496141661065468,0.8397559053891006,0.03712919682664807,0.6330711413264021,0.014954515328788312,0.36516609344932194,0.0018691685072137522,0.5876660445901236,0.016124366561195133,0.6568481751245632,0.038560785019493136,0.5210003733206047,0.03749786500089882,0.3828476874563064,0.0028980650713697456,0.9443339960238568,0.005623115556155441,0.6193721114953854,0.009494418321232156,0.62,0.028284271247461926,0.9596774193548387,0.011404948083653983,0.9623287671232876,0.0048431971314147285
test,P2-Lite35-F7-Clean,strict_fair,"42,43",0.5898209561659161,0.005408369835350808,0.8467865102071227,0.01768332219890327,0.6724761760657989,0.0010030714540660917,0.35551359382879383,0.03121104939776238,0.6184382581639636,0.054463927713809084,0.6518441799335453,0.012459580377812736,0.5174229071565102,0.00037837364113224635,0.36483252242932074,0.019343341189642347,0.9522862823061631,0.01124623111231096,0.6622190051753221,0.010438366029569449,0.64,0.0,0.9596774193548387,0.019008246806089972,0.9743150684931507,0.007264795697122093
test,P2-Partial50-Clean,strict_fair,"42,43",0.5762092533470313,0.012679306905923006,0.8425733829133092,0.011054209231148157,0.6281756311562112,0.01457357569896084,0.34018221382535474,0.005459153706993112,0.5684207313370274,0.000318150695474327,0.6709005414772102,0.0069397513418096935,0.5272240295309757,0.0011415965211509403,0.3758162641351456,0.006718354356558111,0.9393638170974155,0.0070288944451942425,0.6251944771630871,0.02421701729069515,0.64,0.0,0.9516129032258065,0.007603298722435988,0.9571917808219178,0.007264795697122014
test,P2-Partial25-Clean,strict_fair,"42,43",0.5230836766540325,0.09360809875607383,0.7901242806730957,0.08367279750520615,0.5665145636858044,0.09725849439365306,0.2948788958310246,0.06345830989159376,0.5110773948393859,0.09629225954611703,0.6180721088219445,0.08947713255460811,0.45727044490806146,0.12246362890348783,0.31877969125088357,0.08393454428123079,0.9363817097415508,0.0449849244492436,0.5888969084000037,0.06475256860865963,0.56,0.282842712474619,0.9516129032258065,0.03801649361218002,0.9589041095890412,0.02905918278848829
test,P3-M7-Clean,strict_fair,"42,43",0.5758551049162,0.0019642051301131717,0.8486122467387058,0.006420462615462794,0.6466553258986791,0.006045482184167535,0.3389698842265436,0.00838371018357693,0.5952864484416216,0.04472059767967614,0.647500877290704,0.010172626390299524,0.518414883537766,0.008010695414758632,0.3549766139174387,0.016998043808867592,0.94831013916501,0.0028115577780777595,0.6332953262946339,0.004082285154532288,0.62,0.028284271247461926,0.9623655913978495,0.007603298722435988,0.9674657534246576,0.0024215985657073643
test,P3-Lite35-Clean,strict_fair,"42,43",0.5896175338156069,0.009908963420289494,0.8512010141773483,0.011189265119622111,0.6532783936737006,0.009241266233181016,0.37453003832009096,0.035236993076055684,0.6182129696953327,0.0040556566115267255,0.6719625904307222,0.003675224970086986,0.5304632685267996,0.021621542930877556,0.3781958905302487,0.00626695967939354,0.9433399602385686,0.004217336667116561,0.6487717991044142,0.0018036160902984127,0.7,0.0848528137423857,0.967741935483871,0.0,0.9486301369863014,0.0
test,P3-Lite35-F7-Clean,strict_fair,"42,43",0.5602910139695657,0.037311834447588614,0.829446418115185,0.0443226290524178,0.5962387458421801,0.0643587272102345,0.34333555740034216,0.053262023874358126,0.5005107978385159,0.0580647072185424,0.6778714155889732,0.024473178789924672,0.48942571736076235,0.034639243972229214,0.31984413750313856,0.08149541849193992,0.9473161033797217,0.0182751255575052,0.6311563105783691,0.039984424922948056,0.62,0.028284271247461926,0.9435483870967742,0.003801649361217994,0.9777397260273972,0.031480781354195575
test,P3-Partial50-Clean,strict_fair,"42,43",0.5430243663229017,0.050694987428757506,0.8151622305700303,0.040134841098602596,0.5919706839990101,0.06466630746421227,0.3839140023951546,0.01329288690488186,0.5716231099236061,0.04336793639074378,0.5886925655356565,0.06739217327144902,0.44710877915158653,0.09517185242315859,0.35488325382500174,0.010322980278167653,0.9493041749502982,0.0014057788890388797,0.6389399534942171,0.006218122434356611,0.6799999999999999,0.056568542494923775,0.9516129032258065,0.007603298722435988,0.970890410958904,0.0024215985657073643
test,P3-Partial25-Clean,strict_fair,"42,43",0.5857618186450169,0.00291597079617654,0.8357693559849149,0.0051081813259698195,0.6572039028915811,0.0038448725932497775,0.36954769338444426,0.02531969185054091,0.5813282849700656,0.033128359403262274,0.674854320286826,0.005128673744469502,0.5297777881975638,0.03467776625019347,0.3472211274830865,0.06454743512315482,0.94831013916501,0.0028115577780777595,0.6417458490924699,0.02884582465784039,0.62,0.028284271247461926,0.9596774193548387,0.003801649361217994,0.9691780821917808,0.0
test,P2-Control-Clean-Head,optimization_control,"42,43",0.005790833117838279,0.00803100485598193,0.015845004583007503,0.022171698173116886,0.003383232966744001,0.004571743962604572,0.0007669754857051822,0.0010846671338919605,0.006853089854463274,0.008231018204651374,0.029791533065157836,0.042131590104632716,0.005793700850583976,0.008193530319228396,0.0008097290909537899,0.001145129862274887,0.41848906560636184,0.5412248722799619,0.005787965385092579,0.007868479392735467,0.1,0.1414213562373095,0.46505376344086025,0.5436358586541736,0.4160958904109589,0.573918860072643
test,P2-Control-Clean-Full,optimization_control,"42,43",0.6504934789292238,0.0013806757560689922,0.8937140164803976,0.002238227179296105,0.7288025675275158,0.011454562626454305,0.4225042127520423,0.017004975060948366,0.6011924078081485,0.011626203863712704,0.7668270037270386,0.014994247227667403,0.6206606769342377,0.01939652881526188,0.3939005450526333,0.01576389519462055,0.9642147117296223,0.011246231112310882,0.6803262809242101,0.022157880327399862,0.78,0.14142135623730948,0.9623655913978495,0.007603298722435988,0.9811643835616439,0.0024215985657073643
